		4”Ôpush																																																																			
16	45	55.963	5	0	0	0	24	1	0	0	37	10	31	25	42	20	13	11	0	0	0	0	23	3	0	0	28	9	23	18	42	14	8	8	57	22	53	45	60	34	23	22	37	32	41	43	66	47	35	31	59	62	57	60	80	63	65	81	94	123	91	92	108	113	123	118	255	255	0
16	45	55.963	5	0	1	3	23	3	0	0	40	13	28	26	41	18	12	10	2	0	0	0	22	2	0	0	33	12	32	31	42	18	12	10	57	22	49	34	47	26	18	17	22	19	23	24	44	29	24	22	67	75	73	80	91	76	76	93	97	122	98	104	110	117	123	119	255	255	0
16	45	56.062	2	0	1	5	24	3	0	0	44	12	33	31	43	20	13	10	2	0	0	0	21	4	0	0	20	7	19	20	39	12	8	8	46	19	39	35	48	24	14	12	21	17	21	20	43	24	20	18	58	67	57	61	81	65	65	79	93	122	101	104	113	115	124	125	255	255	0
16	45	56.062	1	0	1	3	21	5	0	0	57	17	36	35	47	24	18	15	0	0	0	0	19	3	4	3	20	10	24	28	36	16	10	9	42	16	38	35	41	23	16	17	36	31	39	28	44	26	22	23	63	68	66	73	83	69	71	83	96	118	98	114	110	112	116	118	255	255	0
16	45	56.158	24	7	15	37	29	9	8	10	44	17	33	36	40	20	19	17	0	0	0	0	16	1	0	0	18	8	21	24	33	12	7	5	31	14	30	37	41	16	12	11	6	7	10	0	23	5	6	5	43	62	48	45	75	59	64	56	76	110	88	112	109	104	111	119	255	255	0
16	45	56.158	21	7	14	20	25	2	0	0	61	20	52	43	52	26	19	16	3	2	10	10	26	7	3	1	0	0	1	2	22	1	1	4	33	14	30	28	45	20	13	11	13	13	15	11	36	18	12	16	37	58	43	46	69	53	59	53	65	104	76	88	104	103	108	117	255	255	0
16	45	56.256	0	0	0	1	22	2	1	1	74	24	71	55	63	33	24	21	7	3	18	26	39	14	10	8	0	0	0	0	19	1	0	0	32	18	31	32	47	22	17	13	6	5	6	7	27	7	5	6	37	58	43	46	73	55	61	56	64	106	71	79	106	102	108	124	255	255	0
16	45	56.256	14	3	14	9	29	6	5	5	72	21	58	47	57	28	22	18	8	11	26	28	38	14	10	10	0	0	0	0	18	0	0	0	30	15	29	31	47	18	11	9	6	3	6	6	22	4	4	3	47	68	50	53	75	59	65	59	71	111	75	83	103	104	113	126	255	255	0
16	45	56.353	16	3	17	11	29	7	5	4	53	12	47	39	55	22	17	13	28	8	25	23	38	12	9	14	3	0	0	0	20	0	0	0	34	15	29	30	49	19	15	13	8	4	7	10	32	6	6	7	47	65	53	56	75	64	65	54	75	108	77	84	104	99	109	117	255	255	0
16	45	56.353	16	4	15	8	25	7	5	4	55	18	52	42	50	24	18	14	42	13	36	34	42	17	13	10	0	0	0	0	16	0	0	0	29	12	27	25	44	17	14	11	6	5	9	11	30	8	6	7	54	67	58	62	81	68	69	58	74	109	80	85	105	100	110	117	255	255	0
16	45	56.453	17	4	15	10	29	6	4	4	47	17	51	39	58	24	17	15	32	13	31	27	43	15	11	8	0	0	0	0	16	0	0	0	22	9	21	19	37	14	12	10	6	7	10	10	36	8	8	8	39	64	46	56	73	63	65	53	55	104	65	78	100	96	108	117	255	255	0
16	45	56.453	16	3	14	8	26	6	4	3	56	15	44	33	48	20	15	12	31	11	31	27	42	14	10	8	1	0	0	0	19	0	0	0	22	10	21	19	40	14	11	9	6	7	9	11	34	9	6	6	41	64	47	56	75	65	64	54	53	103	61	71	95	88	104	112	255	255	0
16	45	56.55	18	4	16	9	27	6	4	4	51	13	43	31	50	18	14	11	31	11	32	32	46	16	11	9	0	0	0	0	23	0	0	0	23	10	22	21	45	17	13	12	6	6	8	11	34	8	6	8	43	63	47	55	84	63	65	55	55	104	66	73	95	97	111	115	255	255	0
16	45	56.55	22	4	16	11	33	6	4	3	54	13	45	34	51	20	15	13	33	11	35	34	51	17	13	11	0	0	0	2	26	0	0	0	25	11	23	20	42	15	12	11	9	7	10	11	38	10	8	8	44	62	48	55	82	63	63	53	67	113	75	81	100	103	116	121	255	255	0
16	45	56.647	17	4	18	12	30	6	4	3	58	15	55	45	52	22	15	13	42	11	36	35	48	17	13	11	2	0	1	1	25	0	0	0	30	11	24	21	45	18	13	13	11	9	13	11	40	10	10	11	47	60	50	53	80	58	61	50	75	115	79	85	105	103	114	116	255	255	0
16	45	56.647	24	4	19	16	34	7	5	3	54	15	49	40	49	22	16	13	38	10	29	34	42	17	12	9	1	0	1	1	19	0	0	0	35	16	30	28	39	20	14	12	9	8	10	10	29	10	9	9	48	61	51	58	77	64	66	55	69	109	75	81	97	100	112	114	255	255	0
16	45	56.742	18	4	17	13	26	6	4	3	43	11	36	30	43	18	12	9	34	9	33	35	45	16	11	8	1	0	1	3	24	0	0	0	27	11	23	26	40	17	13	12	5	5	6	6	33	7	6	7	41	61	46	55	82	63	64	54	58	106	66	74	94	92	106	108	255	255	0
16	45	56.742	1	0	1	2	27	0	0	0	44	10	37	30	42	14	10	8	28	8	28	29	43	14	9	8	0	0	1	1	25	1	0	0	30	13	28	27	44	18	13	11	7	7	8	8	30	10	7	7	40	57	46	51	76	61	62	56	65	106	74	78	101	97	109	111	255	255	0
16	45	56.842	0	0	1	2	28	1	0	0	61	16	50	43	51	21	15	12	31	10	31	29	44	14	9	7	0	0	0	1	29	1	0	0	31	12	27	26	47	16	13	12	5	6	6	6	34	7	6	6	43	63	50	54	82	62	64	54	67	108	75	81	99	97	110	112	255	255	0
16	45	56.842	0	0	0	3	30	1	0	0	64	19	60	49	58	24	17	13	27	7	22	23	43	10	7	5	0	0	0	0	29	0	0	0	33	12	28	29	52	18	14	12	7	7	7	5	36	12	10	8	47	60	52	56	77	63	60	49	66	106	77	85	106	95	108	113	255	255	0
16	45	56.939	0	0	0	1	29	1	0	0	73	19	65	48	58	26	18	14	0	2	8	6	32	3	2	3	0	0	0	0	31	0	0	0	33	14	32	32	55	19	14	13	7	6	8	7	38	7	7	6	45	61	50	54	81	61	61	50	77	109	82	90	107	96	108	114	255	255	0
16	45	56.939	0	0	0	0	30	0	1	0	67	18	60	50	60	25	19	14	3	2	6	6	31	4	3	2	0	0	0	0	24	0	0	0	34	15	33	33	52	20	15	12	7	5	8	6	33	8	7	6	49	63	51	53	76	62	63	52	76	107	84	90	107	101	111	115	255	255	0
16	45	57.038	18	4	18	11	35	6	4	4	58	16	45	42	56	23	17	12	11	4	10	10	32	5	4	3	0	0	0	0	25	0	0	0	35	16	35	36	57	21	13	12	10	9	11	13	38	10	9	9	44	60	47	50	73	61	63	53	72	108	80	87	109	101	112	114	255	255	0
16	45	57.038	18	4	16	10	32	6	4	4	65	17	56	43	60	24	17	13	3	2	9	11	33	4	3	2	0	0	0	0	22	0	0	0	33	16	35	32	53	21	15	14	11	9	12	13	39	13	11	9	44	60	47	50	72	59	60	54	71	107	78	84	104	98	108	111	255	255	0
16	45	57.135	18	3	16	9	31	6	4	3	58	15	51	40	54	22	15	13	1	0	0	2	29	0	0	0	0	0	0	0	25	0	0	0	31	13	30	29	54	20	15	14	12	10	14	16	44	12	10	10	45	62	48	52	74	59	61	53	68	106	76	84	104	97	109	112	255	255	0
16	45	57.135	17	4	15	10	35	5	4	4	61	16	54	44	61	22	16	13	5	2	5	6	37	2	1	1	0	0	0	0	26	0	0	0	28	10	25	31	55	19	13	12	9	10	13	15	47	12	9	8	40	58	45	52	74	59	61	54	66	105	74	79	103	95	107	113	255	255	0
16	45	57.233	10	0	0	0	29	3	3	1	60	16	51	39	59	22	16	12	4	2	6	5	40	3	2	1	0	0	0	0	27	0	0	0	33	15	34	31	57	22	16	13	10	10	13	13	48	13	11	10	41	57	46	49	73	53	59	52	72	111	80	85	105	100	111	117	255	255	0
16	45	57.233	0	0	0	0	22	0	0	1	63	16	51	39	57	22	17	12	5	2	6	6	39	4	2	1	0	0	0	0	26	0	0	0	40	17	36	35	55	24	17	15	10	11	13	14	47	14	12	11	39	57	45	48	72	54	58	51	65	106	74	79	102	95	107	114	255	255	0
16	45	57.329	12	2	9	5	32	2	2	1	63	15	49	37	54	21	16	13	5	2	5	6	29	3	3	2	3	1	2	2	29	1	0	1	35	17	35	33	52	22	17	13	10	12	13	13	46	14	12	10	40	61	48	51	78	57	63	58	60	100	68	74	92	92	105	113	255	255	0
16	45	57.329	12	2	9	6	37	2	1	1	62	14	48	37	56	21	15	11	4	1	5	5	38	3	2	2	5	1	4	4	35	1	1	0	35	14	33	31	55	17	16	13	9	11	11	11	44	12	10	9	41	61	48	53	81	57	62	56	64	106	72	78	98	93	107	113	255	255	0
16	45	57.427	13	3	8	6	36	3	2	1	61	14	45	35	52	19	15	11	4	1	4	4	30	3	2	2	2	1	4	3	30	1	1	0	37	11	36	31	50	20	15	12	9	10	13	13	40	13	11	10	46	64	53	56	81	59	62	58	70	107	80	83	100	96	108	114	255	255	0
16	45	57.427	15	3	10	11	41	4	2	2	57	13	41	36	53	19	13	10	3	1	4	4	37	3	3	2	2	0	2	2	38	2	1	1	27	11	28	22	50	15	12	10	9	9	12	11	43	12	11	9	45	64	52	58	84	61	65	59	71	106	79	85	106	96	109	113	255	255	0
16	45	57.528	12	2	8	8	40	4	2	2	58	14	42	33	53	19	13	9	2	1	3	3	36	2	1	1	0	0	0	2	36	0	0	0	33	12	29	27	54	16	12	10	9	11	12	9	41	11	11	9	42	64	52	54	86	59	65	57	66	107	77	82	103	95	108	113	255	255	0
16	45	57.528	0	0	1	1	36	0	0	0	57	13	38	37	55	18	14	10	2	1	3	2	34	2	2	1	0	1	2	3	37	2	1	1	33	14	32	31	57	19	14	11	17	14	22	18	47	16	14	11	46	64	53	54	84	59	66	59	70	109	81	85	109	97	111	116	255	255	0
16	45	57.623	0	0	0	1	31	0	0	0	56	13	36	34	54	18	13	10	2	1	3	2	32	2	1	1	0	0	0	1	34	0	0	0	36	14	33	32	55	19	13	12	20	15	24	22	50	19	16	13	46	67	55	56	78	61	67	59	70	109	83	87	114	99	112	116	255	255	0
16	45	57.623	0	0	0	0	35	0	0	0	51	12	37	36	57	18	13	9	4	1	3	1	31	2	2	1	0	0	3	2	36	3	2	1	38	15	36	37	60	20	15	12	20	15	24	23	49	18	14	12	45	65	51	55	81	60	67	59	70	108	82	87	113	96	109	113	255	255	0
16	45	57.72	0	0	0	0	28	0	0	0	45	11	33	35	54	16	11	8	5	3	5	3	29	2	1	1	4	1	3	2	31	2	1	1	38	15	35	35	56	22	16	14	20	15	24	25	46	19	16	13	50	67	56	57	78	63	70	61	72	105	80	85	108	96	108	117	255	255	0
16	45	57.72	0	0	0	0	26	0	0	0	54	14	43	40	56	20	15	11	4	1	4	3	28	2	1	1	1	0	1	0	27	1	0	0	31	14	32	30	53	19	14	11	17	14	21	21	51	16	13	11	44	67	53	52	77	62	67	59	62	104	76	81	101	95	106	114	255	255	0
16	45	57.818	0	0	0	0	25	0	0	0	58	15	43	39	56	21	15	12	5	1	5	6	28	2	1	2	5	0	4	1	24	2	1	1	31	13	30	28	47	18	14	12	18	13	22	23	45	17	14	10	42	64	50	49	71	58	65	58	61	100	72	76	100	94	104	114	255	255	0
16	45	57.818	0	0	0	0	22	0	0	0	60	15	41	38	54	21	15	11	5	2	5	6	30	2	1	1	5	1	3	0	24	1	1	1	31	13	29	25	47	17	13	12	17	14	21	23	42	18	14	12	44	68	54	58	80	69	73	65	59	103	70	75	97	91	105	116	255	255	0
16	45	57.917	0	0	0	0	26	0	0	0	60	14	41	36	58	21	15	12	5	3	6	8	38	3	2	1	6	2	4	1	31	2	1	0	31	13	31	25	53	18	14	13	18	14	23	24	53	19	16	14	46	68	53	55	86	67	70	63	59	102	71	73	94	92	107	116	255	255	0
16	45	57.917	0	0	0	0	28	0	0	0	59	14	42	36	56	21	14	11	5	2	5	8	37	4	2	2	5	1	4	3	31	2	1	1	30	13	29	25	49	17	13	12	18	15	23	25	51	19	16	14	47	69	57	62	88	68	70	67	60	104	73	76	96	91	109	120	255	255	0
16	45	58.015	0	0	0	0	24	0	0	0	60	15	43	36	52	22	16	13	4	2	5	8	31	3	2	2	8	3	6	5	32	3	1	1	31	13	28	23	49	18	15	14	16	15	21	17	45	16	14	13	50	71	62	67	90	74	76	73	65	107	75	74	96	94	110	124	255	255	0
16	45	58.015	0	0	0	1	26	0	0	0	55	14	39	31	54	18	14	12	4	2	5	8	36	3	2	2	1	0	1	3	31	0	0	0	33	17	33	30	52	17	11	11	9	9	10	14	48	12	11	10	50	70	62	67	92	73	69	72	69	109	78	78	100	93	111	125	255	255	0
16	45	58.112	1	0	0	1	33	0	0	0	56	14	41	39	55	19	14	13	17	5	12	13	42	7	6	6	1	0	0	1	30	0	0	0	32	13	30	26	45	18	15	14	6	7	9	11	37	9	8	8	47	68	56	61	91	69	69	67	63	107	76	81	97	94	110	122	255	255	0
16	45	58.112	1	0	0	0	30	0	0	0	57	14	41	33	52	20	14	12	21	7	17	14	46	9	7	6	0	0	1	1	39	0	0	0	28	12	26	24	47	15	12	12	6	7	9	9	43	9	9	8	44	66	53	57	88	67	68	64	60	105	72	77	103	93	107	121	255	255	0
16	45	58.209	1	0	1	2	40	0	0	0	61	14	42	39	59	19	14	13	21	6	18	18	47	8	7	7	0	0	0	2	40	0	0	0	29	12	26	25	51	15	12	11	6	7	7	6	44	9	9	8	42	66	53	58	88	67	67	62	61	107	73	77	104	92	107	120	255	255	0
16	45	58.209	0	0	0	2	37	0	0	0	62	16	43	37	56	21	16	14	23	7	22	18	44	11	9	7	0	0	0	1	37	0	0	0	29	12	26	26	52	17	13	13	10	11	13	11	45	14	13	13	42	67	53	56	85	67	67	64	59	104	71	74	102	91	106	121	255	255	0
16	45	58.306	0	0	0	1	40	0	0	0	70	18	50	39	66	23	17	15	19	7	17	13	45	12	9	8	0	0	0	0	38	0	0	0	30	13	28	26	57	18	14	14	11	11	13	15	45	13	12	12	50	70	59	64	87	70	72	69	64	105	78	82	106	93	108	124	255	255	0
16	45	58.306	0	0	0	1	34	0	0	0	56	15	41	33	57	20	15	14	21	6	18	12	40	8	6	5	0	0	0	0	35	0	0	0	36	16	34	41	59	20	15	14	10	8	13	7	43	10	9	9	56	70	61	60	88	68	70	61	73	104	83	88	105	95	104	122	255	255	0
16	45	58.405	0	0	0	1	31	0	0	0	58	15	41	35	56	20	16	12	19	6	16	13	39	8	6	6	0	0	0	0	28	0	0	0	36	14	32	29	57	19	15	13	10	8	11	9	38	9	9	9	48	66	54	55	83	62	69	60	69	103	80	84	107	93	104	122	255	255	0
16	45	58.405	0	0	0	0	31	0	0	0	62	16	47	49	63	25	18	14	21	6	17	17	36	8	6	5	0	0	0	0	26	0	0	0	28	12	26	27	50	16	11	11	8	8	9	10	39	8	8	8	41	61	47	47	75	56	63	59	63	102	78	81	102	94	107	121	255	255	0
16	45	58.502	0	0	0	0	25	0	0	0	68	18	49	50	58	25	18	15	23	7	18	19	40	9	6	5	0	0	0	0	26	0	0	0	26	10	25	24	47	16	11	11	9	8	11	12	40	10	9	9	38	61	47	47	77	57	64	58	62	103	75	79	106	95	104	121	255	255	0
16	45	58.502	0	0	0	0	25	0	0	0	67	19	51	40	60	25	18	15	25	9	21	18	44	12	8	7	0	0	0	0	26	0	0	0	30	13	28	25	50	18	14	13	11	9	13	15	43	11	10	10	45	65	51	55	78	59	67	60	66	102	78	84	102	92	105	118	255	255	0
16	45	58.6	0	0	0	0	29	0	0	0	69	18	52	39	60	25	18	15	24	8	21	17	46	11	6	6	0	0	0	0	24	0	0	0	28	11	26	21	50	17	12	11	10	9	12	18	46	11	10	11	43	65	51	51	77	58	65	57	63	105	74	74	98	92	106	116	255	255	0
16	45	58.6	0	0	0	0	29	0	0	0	65	17	51	42	64	25	18	15	22	7	21	25	52	11	7	7	0	0	0	0	29	0	0	0	29	13	27	23	55	18	12	12	11	10	12	17	47	11	10	10	43	64	49	55	81	59	65	60	63	104	75	74	97	93	107	122	255	255	0
16	45	58.696	0	0	0	0	27	0	0	0	68	18	51	35	63	26	19	16	23	6	21	25	49	10	7	7	0	0	0	0	29	0	0	0	28	12	26	12	49	17	13	13	10	9	13	21	51	13	11	11	45	65	51	58	81	58	65	61	64	102	74	76	99	93	105	119	255	255	0
16	45	58.696	0	0	0	0	29	0	0	0	74	18	55	35	61	26	19	16	22	8	20	22	50	11	8	6	1	0	0	4	34	0	0	0	32	13	29	19	49	18	12	12	8	7	10	12	43	9	9	8	48	68	55	63	88	62	69	62	67	103	77	75	96	94	106	118	255	255	0
16	45	58.795	0	0	0	1	33	0	0	0	74	18	54	37	62	26	19	16	24	7	21	19	47	11	8	7	1	0	0	3	32	0	0	0	27	10	26	13	48	15	11	10	10	10	12	10	45	11	10	9	46	67	54	63	90	63	69	63	66	104	77	81	97	94	105	116	255	255	0
16	45	58.795	1	1	0	2	33	0	0	0	78	20	57	42	58	28	19	17	25	7	20	16	42	11	8	6	1	0	1	5	35	0	1	0	29	11	24	18	44	14	10	11	8	8	10	9	40	11	9	9	41	66	51	58	83	60	66	62	62	106	75	81	97	95	108	118	255	255	0
16	45	58.892	1	0	1	4	37	0	0	0	73	19	54	37	58	26	19	16	24	7	21	14	46	11	8	6	0	0	1	6	38	0	0	0	28	11	28	26	51	20	14	15	8	9	10	6	43	11	9	11	42	65	51	58	84	60	66	62	64	105	74	82	101	93	106	115	255	255	0
16	45	58.892	0	0	0	8	36	0	0	0	74	19	55	34	57	26	18	15	24	7	21	13	46	11	8	7	0	1	0	7	41	0	0	0	39	17	38	35	58	23	17	18	8	8	9	5	41	9	8	9	40	63	47	55	86	58	64	61	63	107	73	85	105	94	107	115	255	255	0
